#TYPE Microsoft.PowerShell.Commands.MatchInfo
"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","186","PN: 000_LOWER_FLANGE_STEEL_03 | Name: Part1.1 | Size: 74.84 x 180.0 x 110.03","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","189","  [DEBUG] Document-level STL success. Size: 394852","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","191","PN: 000_LOWER_FLANGE_STEEL_04 | Name: Part2.1 | Size: 84.84 x 180.0 x 110.03","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","194","  [DEBUG] Document-level STL success. Size: 113900","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","196","PN: 715_01_STACKER BLOCK DIA 25 | Name: STACKER BLOCK DIA 46.1 | Size: 50.0 x 95.0 x 60.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","199","  [DEBUG] Document-level STL success. Size: 236152","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","201","PN: 505_STACKER PIN | Name: STACKER PIN_714_44.7.1 | Size: 35.0 x 34.77 x 133.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","204","  [DEBUG] Document-level STL success. Size: 113900","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","206","PN: 715_01_STACKER BLOCK DIA 25 | Name: STACKER BLOCK DIA 46.1 | Size: 50.0 x 95.0 x 60.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","209","  [DEBUG] Document-level STL success. Size: 236152","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","211","PN: 505_STACKER PIN | Name: STACKER PIN_714_44.7.1 | Size: 35.0 x 34.77 x 133.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","214","  [DEBUG] Document-level STL success. Size: 113900","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","216","PN: 715_01_STACKER BLOCK DIA 25 | Name: STACKER BLOCK DIA 46.1 | Size: 50.0 x 95.0 x 60.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","219","  [DEBUG] Document-level STL success. Size: 236152","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","221","PN: 505_STACKER PIN | Name: STACKER PIN_714_44.7.1 | Size: 35.0 x 34.77 x 133.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","224","  [DEBUG] Document-level STL success. Size: 113900","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","226","PN: 715_01_STACKER BLOCK DIA 25 | Name: STACKER BLOCK DIA 46.1 | Size: 50.0 x 95.0 x 60.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","229","  [DEBUG] Document-level STL success. Size: 236152","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","231","PN: 505_STACKER PIN | Name: STACKER PIN_714_44.7.1 | Size: 35.0 x 34.77 x 133.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","234","  [DEBUG] Document-level STL success. Size: 155056","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","236","PN: 208_STOPPER_PLATE | Name: 000_STOPPER_PLATE.1 | Size: 98.0 x 60.0 x 24.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","239","  [DEBUG] Document-level STL success. Size: 155056","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","241","PN: 208_STOPPER_PLATE | Name: 000_STOPPER_PLATE.2 | Size: 98.0 x 60.0 x 24.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","244","  [DEBUG] Document-level STL success. Size: 155056","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","246","PN: 208_STOPPER_PLATE | Name: 000_STOPPER_PLATE.3 | Size: 98.0 x 60.0 x 24.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","249","  [DEBUG] Document-level STL success. Size: 155056","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","251","PN: 208_STOPPER_PLATE | Name: 000_STOPPER_PLATE.4 | Size: 98.0 x 60.0 x 24.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","254","  [DEBUG] Document-level STL success. Size: 1469641","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","256","PN: 002_LOWER_PAD_ST_01 | Name: 002_LOWER_PAD_ST_01 | Size: 213.42 x 522.0 x 191.94","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","261","PN: LOWER PAD ADAPTER  | Name: Part1.1 | Size: Not Measurable","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","264","  [DEBUG] Document-level STL success. Size: 275767","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","266","PN: 900-MAIN_WEAR_PLATE.. | Name: MWF150-150_.1 | Size: 100.0 x 75.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","269","  [DEBUG] Document-level STL success. Size: 275767","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","271","PN: 900-MAIN_WEAR_PLATE.. | Name: MWF150-150_.2 | Size: 100.0 x 75.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
